Squad Members,Position ,Goals Scored,Assists Given,Yellow Cards ,Red Cards 
Aaron Ramsdale,Goalkeeper,0,0,1,0
Matt Turner,Goalkeeper,0,0,0,0
Karl Hein,Goalkeeper,0,0,0,0
James Hillson,Goalkeeper,0,0,0,0
Kieran Tierney,Defender,0,1,0,0
Ben White,Defender,2,5,5,0
Gabriel Magalhaes,Defender,3,0,5,0
Rob Holding ,Defender,1,0,0,0
Takehiro Tomiyasu,Defender,0,1,2,0
William Saliba,Defender,2,1,4,0
Lino Sousa,Defender,0,0,0,0
Reuell Walters,Defender,0,0,0,0
Jakub Kiwior,Defender,1,0,0,0
Thomas Partey,Midfielder,3,0,5,0
Bukayo Saka,Attacker,14,11,6,0
Martin Odegaard,Midfielder,15,7,4,0
Emile Smith Rowe,Midfielder,0,2,0,0
Mohamed Eleney,Midfielder,0,0,0,0
Granit Xhaka,Midfielder,7,7,5,0
Fabio Vieira,Midfielder,1,2,0,0
Oleksandr Zinchenko,Defender,1,2,3,0
Ethan Nwaneri,Midfielder,0,0,0,0
Jorginho Luiz,Midfielder,0,1,0,0
Eddie Nketiah,Attacker,4,1,3,0
Gabriel Martinelli,Attacker,15,5,3,0
Gabriel Jesus,Attacker,11,6,6,0
Reiss Nelson,Attacker,3,2,0,0
Leandro Trossard,Attacker,1,10,0,0
