Squad Players,Position,Goals Scored,Assist,Red Cards,Yellow Cards
Mark Travers,Goalkeeper,0,0,0,0
Darren Randolph,Goalkeeper,0,0,0,0
Neto,Goalkeeper,0,0,0,4
Cameron Plain,Goalkeeper,0,0,0,0
Ryan Fredericks,Defender,0,0,0,1
Lloyo Kelly,Defender,0,2,0,3
Chris Mepham,Defender,0,0,0,7
Adam Smith,Defender,0,1,0,11
Marcos Sensei,Defender,2,0,0,7
Illia Zabarnyi,Defender,0,0,0,0
James Hill,Defender,0,0,0,0
Lewis Cook,Midfielder,0,2,0,4
David Brooks,Midfielder,0,0,1,0
Ryan Christie,Midfielder,1,1,0,2
Joe Rothwell,Midfielder,0,1,0,2
Marcus Tavernier,Midfielder,5,4,0,1
Hamed Traore,Midfielder,0,0,0,0
Gavin Kilkenny,Midfielder,0,0,0,0
Philip Billing,Midfielder,7,1,0,5
Ben Pearson,Midfielder,0,0,0,1
Dominic Solanke,Attacker,6,7,0,2
Dango Ouattara,Attacker,1,3,0,1
Kieffer Moore,Attacker,4,0,1,0
Antonie Semenyo,Attacker,0,0,0,0
Jaidon Anthony,Attacker,3,1,0,2
Emiliano Marcondes,Attacker,0,0,0,0
Jamal Lowe,Attacker,0,0,0,0
Siriki Dembele,Attacker,0,0,0,0
