Player,Goals,Assists,Yel,Red
"Ivan Toney27, FW",20,4,9,-
"Bryan Mbeumo23, AM(LR),FW",9,8,5,-
"Yoane Wissa26, AM(L),FW",7,3,3,-
"Mathias Jensen27, M(C)",5,6,5,-
"Josh Dasilva24, M(C)",4,2,1,-
"Ben Mee33, D(CL)",3,2,2,-
"Ethan Pinnock30, D(C)",3,-,-,-
"Vitaly Janelt25, DMC",3,1,3,-
"Christian Nørgaard29, D(C),DMC",1,3,6,-
"Pontus Jansson32, D(C)",1,-,-,-
"Aaron Hickey21, D(LR),M(LR)",-,1,7,-
"David Raya27, GK",-,-,1,-
"Frank Onyeka25, DMC",-,2,-,-
"Halil Dervisoglu23, AM(C),FW",-,-,-,-
"Keane Lewis-Potter22, AM(CLR),FW",-,1,-,-
"Kevin Schade21, AM(LR)",-,1,2,-
"Kristoffer Ajer25, D(CR),DMC",-,-,-,-
"Mads Bech Sørensen24, D(CL)",-,-,-,-
"Mads Roerslev24, D(R),M(R)",-,-,-,-
"Zanka33, D(C)",-,-,2,-
"Mikkel Damsgaard23, AM(CL)",-,-,4,-
"Rico Henry26, D(L),M(L)",-,2,4,-
"Saman Ghoddos29, M(CLR),FW",-,-,-,-
"Sergi Canós26, M(LR)",-,-,-,-
"Shandon Baptiste25, AM(C)",-,1,1,1
