Squad Players,Position,Goals Scored,Assist,Red Cards,Yellow Cards
Illan Meslier,Goalkeeper,0,0,0,0
Kristoffer Klaesson,Goalkeeper,0,0,0,0
Harry Christy,Goalkeeper,0,0,0,0
Joel Robles,Goalkeeper,0,0,0,0
Luke Aying,Defender,0,0,0,0
Junior Firpo,Defender,2,2,0,0
Robin Koch,Defender,0,0,0,0
Liam Cooper,Defender,1,0,0,5
Pascal Strujik,Defender,2,1,0,5
Stuart Dallas,Defender,0,0,0,0
Rasmus Kristensen,Defender,3,1,0,4
James Debayo,Defender,0,0,0,0
Maximilian Wober,Defender,0,0,0,3
Kris Moore,Defender,0,0,0,0
Diogo Monterio,Defender,0,0,0,0
Adam Forshaw,Midfielder,0,0,0,0
Jack Harrison,Midfielder,6,10,0,2
Crysencio Summerville,Midfielder,4,2,0,4
Brendon Aaronson,Midfielder,1,3,0,2
Marc Roca,Midfielder,1,2,0,7
Darko Gybai,Midfielder,0,0,0,0
Tyle Adams,Midfielder,0,0,1,4
Archies Gray,Midfielder,0,0,0,0
Ammari Miller,Midfielder,0,0,0,0
Charlie Allen,Midfielder,0,0,0,0
Joe Snowdon,Midfielder,0,0,0,0
Joseph Snowdon,Midfielder,0,0,0,0
Weston Mckennie,Midfielder,0,1,0,7
Patrick Bamford,Attacker,6,4,0,3
Rodrigo,Attacker,15,2,0,6
Sam Greenwood,Attacker,1,3,0,1
Luis Sinisterra,Attacker,7,0,1,1
Sonny Perkins,Attacker,1,0,0,0
Wilfried Gnoto,Attacker,4,4,0,7
Mateo Joseph Fernandez,Attacker,0,0,0,0
Georginio Rutter,Attacker,0,1,0,0
