Squad Members ,Position,  Goals Scored , Assists Given,Yellow Cards ,Red Cards
Kyle Walker,Defender,0,0,3,0
Ruben Dias,Defender,0,0,3,0
John Stones,Defender,2,2,2,0
Erling Haaland,Attacker,36,8,5,0
Riyad Mahrez,Attacker,5,10,2,0
Phil Foden,Attacker,11,5,1,0
Jack Grealish ,Attacker,5,7,4,0
Bernado Silva,Midfielder,4,5,5,0
Julian Alvarez,Attacker,9,0,0,0
Aymeric Laporte ,Defender,0,0,0,0
Nathan Ake,Defender,1,0,2,0
Manuel Akanji,Defender,0,1,2,0
Rico Lewis,Defender,0,0,1,0
Kalvin Phillips,Midfielder,0,0,1,0
Illkay Gundogan,Midfielder,8,4,0,0
Kevin de Bruyne,Midfielder,7,16,1,0
Sergio Gomez,Defender,0,1,0,0
Cole Palmer,Attacker,0,0,1,1
Ederson Moraes,Goalkeeper,0,1,3,0
Stefan Ortega,Goalkeeper,0,0,0,0
Scott Carson,Goalkeeper,0,0,0,0
Rodri Hernadez,Midfielder,2,6,7,0
Maximo Perrone,Midfielder,0,0,0,0
Joao Cancelo,Defender,2,1,3,1
