Squad Members,Position ,Goals Scored,Assists Given,Yellow Cards,Red Cards 
David de GEa ,Goalkeeper,,,,
Tom Heaton,Goalkeeper,,,,
Radek Vitek,Goalkeeper,,,,
Nathan Bishop,Goalkeeper,,,,
Jack Butland,Goalkeeper,,,,
Victor Lindelof,Defender,,,,
Phil Jones,Defender,,,,
Harry Maguire,Defender,,,,
Raphael Varane,Defender,,,,
Diogo Dalot,Defender,,,,
Luke Shaw,Defender,,,,
Aaron Wan Bissake,Defender,,,,
Tyrell Malacia,Defender,,,,
Brandon Williams,Defender,,,,
Fred Rodrigues,Midfielder,,,,
Bruno Fernandes,Midfielder,,,,
Scott McTominay,Midfielder,,,,
Facundo Pellistri,Midfielder,,,,
Donny van de Beek,Midfielder,,,,
Christian Eriksen,Midfielder,,,,
Casemiro,Midfielder,,,,
Zidane Iqbal,Midfielder,,,,
Marcel Sabotzer,Midfielder,,,,
Alejandro Garnacho,Attacker,,,,
Marcus Rashford,Attacker,,,,
Jadon Sancho,Attacker,,,,
Anthony Elanga,Attacker,,,,
Anthony Martial,Attacker,,,,
Anthony Santos,Attacker,,,,
Wout Weghorst,Attacker,,,,
Lisandro Martinez,Defender,,,,
