Ranking,Player,Club,Assists
1,Kevin De Bruyne,Manchester City,16
2,Mohamed Salah,Liverpool,12
3,Leandro Trossard,Arsenal,12
4,Michael Olise,Crystal Palace,11
5,Bukayo Saka,Arsenal,11
6,Riyad Mahrez,Manchester City,10
7,Trent Alexander-Arnold,Liverpool,9
8,James Maddison,Leicester City,9
9,Bruno Fernandes,Manchester United,8
10,Christian Eriksen,Manchester United,8
11,Morgan Gibbs-White,Nottingham Forest,8
12,Pascal Gross,Brighton ,8
13,Erling Haaland,Manchester City,8
14,Bryan Mbeumo,Brentford,8
15,Ivan Perisic,Tottenham Hotspur,8
16,Andy Robertson,Liverpool,8
17,Jack Grealish,Manchester City,7
18,Jack Harrison,Leeds United,7
19,Alex Iwobi,Everton,7
20,Dejan Kulusevski,Tottenham Hotspur,7
