Ranking ,Player,Club,Goals Scored
1,Erling Haaland,Manchester City,36
2,Harry Kane ,Tottenham Hotspur,30
3,Ivan Toney,Brentford,20
4,Mohamed Salah,Liverpool,19
5,Callum Wilson,Newcastle United,18
6,Marcus Rashford,Manchester United,17
7,Gabriel Martinelli,Arsenal,15
8,Ollie Watkins,Aston Villa,15
9,Martin Odegaard,Arsenal,15
10,Aleksandar Mitrovic,Fulham,14
11,Bukayo Saka,Arsenal,14
12,Harvey Barnes,Leicester City,13
13,Rodrigo,Leeds United,13
14,Miguel Almiron,Newcastle United,11
15,Roberto Firmino,Liverpool,11
16,Gabriel Jesus,Arsenal,11
17,Phil Foden,Manchester City,11
18,Taiwo Awoniyi,Nottingham Forest,10
19,Eberechi Eze,Crystal Palace,10
20,Alexander Isak,Newcastle United,10
