Squad Members,Position ,Goals Scored,Assists Given,Yellow Cards ,Red Cards
Martin Dubravka,Goalkeeper,,,,
Nick Pope,Goalkeeper,,,,
Loris Karius,Goalkeeper,,,,
Paul Dummett,Defender,,,,
Fabian Schar,Defender,,,,
Jamaal Lascelles ,Defender,,,,
Jamal Lewis,Defender,,,,
Kieran Trippier,Defender,,,,
Emil Krafth,Defender,,,,
Javier Manquillo,Defender,,,,
Dan Burn,Defender,,,,
Sven Botman,Defender,,,,
Matt Tagrett,Defender,,,,
Harrison Ashby,Defender,,,,
Matt Richie,Midfielder,,,,
Ryan Fraser,Midfielder,,,,
Jacob Murphy,Midfielder,,,,
Miguel Almiron,Midfielder,,,,
Joe Willock,Midfielder,,,,
Sean Longstaff,Midfielder,,,,
Bruno Guimaraes,Midfielder,,,,
Elliot Anderson,Midfielder,,,,
Matty Longstaff,Midfielder,,,,
Joelinton,Attacker,,,,
Callum Wilson,Attacker,,,,
Allan Saint Maximin,Attacker,,,,
Alexandae Isak,Attacker,,,,
Anthony Gordon,Attacker,,,,
