Squad Players,Position,Goals Scored,Assist,Red Cards,Yellow cards
Dean Henderson,Goalkeeper,0,0,0,2
Wayne Hennessey,Goalkeeper,0,0,0,0
Keehan Willows,Goalkeeper,0,0,0,0
Keylor Navas,Goalkeeper,0,0,0,2
George Shelvery,Goalkeeper,0,0,0,0
Joe Worrall,Defender,1,0,0,6
Scott Mckenna,Defender,0,0,0,4
Steve Cook,Defender,0,0,0,4
Guilian Biancone,Defender,0,0,0,0
Moussa Niakhate,Defender,0,0,0,1
Omar Richards,Defender,0,0,0,0
Neco Williams,Defender,1,0,0,7
Harry Toffolo,Defender,0,0,0,2
Renan Lodi,Defender,0,1,0,7
Willy Boly,Defender,0,1,0,2
Serge Aurier,Defender,1,0,0,2
Felipe,Defender,0,1,0,4
Jack Colback,Midfielder,0,0,0,0
Cafu,Midfielder,0,0,0,0
Ryan Yates,Midfielder,0,2,0,5
Harry Arter,Midfielder,0,0,0,2
Jesse Lingard,Midfielder,0,0,0,1
Oliver Hammond,Midfielder,0,0,0,0
Cheikhou Kouyate,Midfielder,1,0,0,3
Remo Freuler,Midfielder,0,0,0,4
Morgan Gibbs White,Midfielder,5,8,0,5
Orel Mangala,Midfielder,1,1,0,3
Gustavo Scarpe,Midfielder,0,0,0,1
Danilo,Midfielder,3,2,0,1
Janjo Shelvey,Midfielder,0,0,0,0
Sam Surridge,Attacker,1,0,0,2
Alex Mighten,Attacker,0,0,0,0
Brennan Jhonson,Attacker,0,0,0,0
Taiwo Awoniyi,Attacker,10,1,0,2
Lyle Taylor,Attacker,0,0,0,0
Emmanuel Denni,Attacker,2,2,0,3
Alex Mighten ,Attacker,0,0,0,0
Chris Wood,Attacker,1,0,0,0
Andre Ayew,Attacker,0,0,0,1
